Timestamp,CPU_Usage_%,RAM_Usage_%,Wifi_TX_Mbps,Wifi_RX_Mbps
2025-12-31 20:16:28.721,0.2,7.8,0.09,0.05
2025-12-31 20:16:29.723,0.2,7.8,0.10,0.05
2025-12-31 20:16:30.724,0.2,7.8,0.09,0.05
2025-12-31 20:16:31.726,0.2,7.8,0.09,0.05
2025-12-31 20:16:32.727,0.2,7.8,0.10,0.05
2025-12-31 20:16:33.729,0.2,7.8,0.09,0.05
2025-12-31 20:16:34.730,0.2,7.8,0.09,0.05
2025-12-31 20:16:35.732,0.3,7.8,0.09,0.05
2025-12-31 20:16:36.733,0.2,7.8,0.10,0.05
2025-12-31 20:16:37.735,0.2,7.8,0.10,0.05
2025-12-31 20:16:38.736,0.1,7.8,0.09,0.05
2025-12-31 20:16:39.737,0.1,7.8,0.09,0.05
2025-12-31 20:16:40.738,0.2,7.8,0.09,0.05
2025-12-31 20:16:41.740,0.1,7.8,0.09,0.05
2025-12-31 20:16:42.741,0.1,7.8,0.10,0.05
2025-12-31 20:16:43.743,0.2,7.8,0.09,0.05
2025-12-31 20:16:44.744,0.2,7.8,0.10,0.05
2025-12-31 20:16:45.745,0.2,7.8,0.10,0.05
2025-12-31 20:16:46.746,0.4,7.8,0.10,0.05
2025-12-31 20:16:47.748,0.4,7.8,0.10,0.05
2025-12-31 20:16:48.750,0.2,7.8,0.09,0.05
2025-12-31 20:16:49.751,0.4,7.8,0.09,0.05
2025-12-31 20:16:50.752,0.3,7.8,0.09,0.05
2025-12-31 20:16:51.753,0.3,7.8,0.09,0.05
2025-12-31 20:16:52.755,0.3,7.8,0.10,0.05
2025-12-31 20:16:53.756,0.2,7.8,0.10,0.05
2025-12-31 20:16:54.757,0.1,7.8,0.09,0.05
2025-12-31 20:16:55.759,0.0,7.8,0.09,0.05
2025-12-31 20:16:56.761,0.2,7.8,0.09,0.05
2025-12-31 20:16:57.763,0.2,7.8,0.09,0.05
2025-12-31 20:16:58.764,0.1,7.8,0.10,0.05
2025-12-31 20:16:59.766,0.3,7.8,0.09,0.05
2025-12-31 20:17:00.767,0.2,7.8,0.10,0.05
2025-12-31 20:17:01.769,0.6,7.8,0.09,0.05
2025-12-31 20:17:02.770,0.5,7.8,0.10,0.05
2025-12-31 20:17:03.772,0.4,7.8,0.10,0.05
2025-12-31 20:17:04.774,0.2,7.8,0.09,0.05
2025-12-31 20:17:05.775,0.3,7.8,0.10,0.05
2025-12-31 20:17:06.776,0.0,7.8,0.10,0.05
2025-12-31 20:17:07.777,0.0,7.8,0.10,0.05
2025-12-31 20:17:08.779,0.1,7.8,0.09,0.05
2025-12-31 20:17:09.779,0.1,7.8,0.10,0.05
2025-12-31 20:17:10.781,0.0,7.8,0.09,0.05
2025-12-31 20:17:11.782,0.1,7.8,0.10,0.05
2025-12-31 20:17:12.783,0.0,7.8,0.10,0.05
2025-12-31 20:17:13.785,0.1,7.8,0.10,0.05
2025-12-31 20:17:14.787,0.1,7.8,0.10,0.06
2025-12-31 20:17:15.788,0.2,7.8,0.10,0.05
2025-12-31 20:17:16.790,0.2,7.8,0.09,0.05
2025-12-31 20:17:17.791,0.1,7.8,0.10,0.05
2025-12-31 20:17:18.792,0.2,7.8,0.10,0.05
2025-12-31 20:17:19.793,0.0,7.8,0.09,0.05
2025-12-31 20:17:20.795,0.0,7.8,0.10,0.05
2025-12-31 20:17:21.796,0.0,7.8,0.09,0.05
2025-12-31 20:17:22.797,0.1,7.8,0.10,0.05
2025-12-31 20:17:23.799,0.1,7.8,0.09,0.05
2025-12-31 20:17:24.800,0.0,7.8,0.09,0.05
2025-12-31 20:17:25.802,0.2,7.8,0.10,0.05
2025-12-31 20:17:26.803,0.2,7.8,0.09,0.05
2025-12-31 20:17:27.805,0.0,7.8,0.09,0.05
2025-12-31 20:17:28.806,0.1,7.8,0.09,0.05
2025-12-31 20:17:29.808,0.0,7.8,0.10,0.05
2025-12-31 20:17:30.809,0.0,7.8,0.10,0.05
2025-12-31 20:17:31.810,0.0,7.8,0.10,0.05
2025-12-31 20:17:32.812,0.1,7.8,0.10,0.05
2025-12-31 20:17:33.814,0.1,7.8,0.10,0.05
2025-12-31 20:17:34.815,0.0,7.8,0.09,0.05
2025-12-31 20:17:35.818,0.1,7.8,0.09,0.05
2025-12-31 20:17:36.820,0.0,7.8,0.09,0.05
2025-12-31 20:17:37.822,0.0,7.8,0.10,0.05
2025-12-31 20:17:38.823,0.1,7.8,0.09,0.05
2025-12-31 20:17:39.825,0.0,7.8,0.10,0.05
2025-12-31 20:17:40.827,0.1,7.8,0.09,0.05
2025-12-31 20:17:41.828,0.1,7.8,0.09,0.05
2025-12-31 20:17:42.830,0.1,7.8,0.10,0.05
2025-12-31 20:17:43.832,0.8,7.8,0.09,0.05
2025-12-31 20:17:44.833,0.0,7.8,0.10,0.05
2025-12-31 20:17:45.835,0.1,7.8,0.10,0.05
2025-12-31 20:17:46.836,0.2,7.8,0.10,0.05
2025-12-31 20:17:47.838,0.1,7.8,0.09,0.05
2025-12-31 20:17:48.839,0.0,7.8,0.10,0.05
2025-12-31 20:17:49.841,0.1,7.8,0.09,0.05
2025-12-31 20:17:50.842,0.0,7.8,0.10,0.05
2025-12-31 20:17:51.844,0.0,7.8,0.09,0.05
2025-12-31 20:17:52.845,0.2,7.8,0.10,0.06
2025-12-31 20:17:53.847,0.0,7.8,0.10,0.05
2025-12-31 20:17:54.848,0.0,7.8,0.10,0.05
2025-12-31 20:17:55.849,0.0,7.8,0.09,0.05
2025-12-31 20:17:56.850,0.1,7.8,0.09,0.05
2025-12-31 20:17:57.852,0.0,7.8,0.10,0.05
2025-12-31 20:17:58.854,0.1,7.8,0.10,0.05
2025-12-31 20:17:59.856,0.1,7.8,0.09,0.05
2025-12-31 20:18:00.858,0.1,7.8,0.09,0.05
2025-12-31 20:18:01.859,0.0,7.8,0.12,0.05
2025-12-31 20:18:02.860,0.0,7.8,0.10,0.05
2025-12-31 20:18:03.861,0.2,7.8,0.09,0.05
2025-12-31 20:18:04.862,0.1,7.8,0.10,0.05
2025-12-31 20:18:05.863,0.1,7.8,0.10,0.05
2025-12-31 20:18:06.864,0.2,7.8,0.09,0.05
2025-12-31 20:18:07.865,0.0,7.8,0.09,0.05
2025-12-31 20:18:08.866,0.1,7.8,0.10,0.05
2025-12-31 20:18:09.867,0.0,7.8,0.09,0.05
2025-12-31 20:18:10.868,0.1,7.8,0.09,0.05
2025-12-31 20:18:11.869,0.0,7.8,0.09,0.05
2025-12-31 20:18:12.871,0.1,7.8,0.10,0.05
2025-12-31 20:18:13.872,0.0,7.8,0.09,0.05
2025-12-31 20:18:14.874,0.1,7.8,0.10,0.05
2025-12-31 20:18:15.875,0.1,7.8,0.09,0.05
2025-12-31 20:18:16.876,0.1,7.8,0.10,0.05
2025-12-31 20:18:17.878,0.1,7.8,0.09,0.05
2025-12-31 20:18:18.879,0.1,7.8,0.11,0.05
2025-12-31 20:18:19.880,0.0,7.8,0.09,0.05
2025-12-31 20:18:20.881,0.0,7.8,0.09,0.05
2025-12-31 20:18:21.882,0.1,7.8,0.10,0.05
2025-12-31 20:18:22.884,0.1,7.8,0.10,0.05
2025-12-31 20:18:23.886,0.1,7.8,0.09,0.05
2025-12-31 20:18:24.887,0.0,7.8,0.09,0.05
2025-12-31 20:18:25.888,0.2,7.8,0.10,0.05
2025-12-31 20:18:26.890,0.0,7.8,0.10,0.05
2025-12-31 20:18:27.892,0.1,7.8,0.09,0.05
2025-12-31 20:18:28.893,0.0,7.8,0.10,0.05
2025-12-31 20:18:29.894,0.1,7.8,0.09,0.05
2025-12-31 20:18:30.896,0.1,7.8,0.10,0.05
2025-12-31 20:18:31.897,0.1,7.8,0.09,0.05
2025-12-31 20:18:32.899,0.3,7.8,0.10,0.05
2025-12-31 20:18:33.900,0.2,7.8,0.10,0.05
2025-12-31 20:18:34.901,0.2,7.8,0.09,0.05
2025-12-31 20:18:35.903,0.2,7.8,0.09,0.05
2025-12-31 20:18:36.904,0.2,7.8,0.09,0.05
2025-12-31 20:18:37.906,0.2,7.8,0.10,0.05
2025-12-31 20:18:38.907,0.2,7.8,0.09,0.05
2025-12-31 20:18:39.908,0.2,7.8,0.10,0.05
2025-12-31 20:18:40.910,0.1,7.8,0.09,0.05
2025-12-31 20:18:41.912,0.2,7.8,0.09,0.05
2025-12-31 20:18:42.913,0.1,7.8,0.10,0.05
2025-12-31 20:18:43.914,0.2,7.8,0.09,0.05
2025-12-31 20:18:44.916,0.2,7.8,0.09,0.05
2025-12-31 20:18:45.917,0.2,7.8,0.09,0.05
2025-12-31 20:18:46.918,0.2,7.8,0.10,0.05
